Algo, Map,Time,Memory,Steps,Nodes
BFS,1, 82.02457427978516,0.043227195739746094,33,314
BFS,2, 319.00763511657715,0.1216878890991211,16,750
BFS,3, 296.51904106140137,0.1337718963623047,41,1038
BFS,4, 1035.555124282837,0.4567708969116211,89,2669
DFS,1, 82.97920227050781,0.03770923614501953,68,275
DFS,2, 2205.605983734131,0.4826812744140625,32,4480
DFS,3, 157.99999237060547,0.09558677673339844,67,669
DFS,4, 327.9998302459717,0.16998958587646484,135,1070
UCS,1, 87.99934387207031,0.067779541015625,33,336
UCS,2, 218.00470352172852,0.09376049041748047,16,647
UCS,3, 304.5196533203125,0.13818740844726562,41,1094
UCS,4, 907.8166484832764,0.45694732666015625,89,2674
AStar,1, 100.0058650970459,0.03889274597167969,33,311
AStar,2, 181.99920654296875,0.08465766906738281,16,423
AStar,3, 435.99557876586914,0.12789058685302734,41,988
AStar,4, 1089.5216464996338,0.45689868927001953,89,2670
